year,month,MKT,REG,PEAD,HMLM,STR,ILR,SMB,EPRD
1994,12,0.0086,0.036683,0.0108,0.001800559,0.0081,-0.000904,-4.00E-04,-0.019266
1995,1,0.018,0.011994,-0.0087,0.02091316,0.04,0.013243,-0.0302,0.053771
1995,2,0.0363,0.012134,-0.0032,0.008573521,0.0239,-0.032624,-0.0054,-0.021752
1995,3,0.0219,0.007729,-0.0065,-0.019388479,-4.00E-04,-0.003367,-0.0053,-0.003053
1995,4,0.0211,0.034525,0.0098,0.013662108,-0.0052,0.00065,-0.0022,0.010435
1995,5,0.029,0.014665,0.007,0.013021079,-0.0046,-0.001048,-0.0218,0.003792
1995,6,0.0272,0.018057,0.004,-0.036190692,0.0123,-0.023165,0.0303,0.031181
1995,7,0.0372,0.003082,0.0173,-0.027188454,-0.0216,0.052932,0.0208,-0.009666
1995,8,0.0055,0.012945,0.0158,0.01461306,0.0128,-0.013473,0.0176,-0.025291
1995,9,0.0335,0.03123,0.0312,-0.011200614,-0.0089,0.030129,-0.019,0.006824
1995,10,-0.0152,0.044585,0.018,-0.007025189,-0.0102,0.079416,-0.0407,0.039091
1995,11,0.0396,-0.012686,-0.0094,-0.003685746,0.006,-0.043565,-0.0107,-0.01388
1995,12,0.0103,0.004029,0.003,0.00522276,-0.0098,0.022903,0.0073,-0.006572
1996,1,0.0226,0.014014,-0.005,0.005899269,0.01,0.017882,-0.0256,-0.027348
1996,2,0.0133,0.007299,-0.0022,-0.024545775,0.0217,-0.030558,0.0176,-0.00092
1996,3,0.0073,-0.013198,7.00E-04,0.018286172,-0.0011,-0.023759,0.0164,0.02075
